"id","name","category_id","description","average_price","image_url","rating","status","is_fill","create_time","last_modify_time","created_by","last_modified_by"
1,Adrenaline Rush Game Fuel Green,1,"Безалкогольный энергетический напиток со вкусом имбиря и лайма. Дает заряд энергии в самые напряженные моменты игры. Содержит кофеин, который стимулирует умственную деятельность, повышает скорость реакции и концентрацию внимания. Витамины группы B играют важную роль в функционировании нервной системы, участвуют в обмене веществ и энергии. Игра - это серьезно.",80.00,https://cdn.c4.r-99.com/sites/default/files/imagecache/300o/product-images/518145/a7WBw454VOnwxxju6iRhQ.jpg,4.00,A,true,1583236379656,1583236441265,admin,admin
2,Drive Me Original,1,"Безалкогольный энергетический напиток. Содержит кофеин, который стимулирует умственную деятельность, повышает скорость реакции и концентрацию внимания. Витамины группы B играют важную роль в функционировании нервной системы, участвуют в обмене веществ и энергии. Drive me заводит!",45.00,https://cdn.c4.r-99.com/sites/default/files/imagecache/300o/product-images/819828/3Bxy21XRLD8pLg1zh119FQ.jpg,3.50,A,true,1583241507535,1583241655687,admin,admin
3,Genesis Purple Star,1,Клевый энергетик,60.00,https://irecommend.img.c3.r-99.com/sites/default/files/imagecache/300o/product-images/1242115/QFlExpxuURnIB1nVz0Sz3g.jpg,4.70,A,true,1583303672879,1583303758922,admin,admin
4,S.O.V.A. Classic,1,"Вкус кисло-сладкий, тропических фруктов, характерный для маракуйи и манго.",50.00,https://cdn.c4.r-99.com/sites/default/files/imagecache/300o/product-images/518145/F8AGdpbI97aKffYoNqg.png,4.60,A,true,1583305505655,1583305561569,admin,admin
5,S.O.V.A. Natural,1,"Вкусный и модный энергетический напиток,который позволяет мгновенно взбодриться",50.00,https://cdn.c4.r-99.com/sites/default/files/imagecache/300o/product-images/348227/nBHo4hrzB5OBb34QuFoU0A.jpg,4.10,A,true,1583306664707,1583306954583,admin,admin
6,Heineken,2,"Флагманское пиво бренда варится на основе рецепта, разработанного Герардом Хейнекеном в 1873 году. Первую награду продукт завоевал спустя 2 года, в ходе Международной морской выставки в Париже. При его создании используются микс различных сортов хмеля и эксклюзивные дрожжи Heineken-A, благодаря которым напиток приобретает тонкий аромат с тонами фруктов. Во вкусе выделяются оттенки жареных каштанов, банана и карамели на фоне сбалансированной горьковатой ноты. Разливается в бутылки и банки «фирменного» зеленого цвета. Рекомендуемая температура подачи – 6-8 °C. В качестве гастрономического сопровождения можно использовать салат из креветок, ломтики сыровяленой оленины, свиной балык.",60.00,https://cdn.c4.r-99.com/sites/default/files/imagecache/300o/product-images/39394/1240835602_heineken_07.jpg,4.10,A,true,1585126379881,1585126491882,admin,admin
7,Bud,2,"Пиво светло-золотистого цвета. Обладает ярко выраженным вкусом с ароматными, горьковатыми нотками хмеля, нюансами карамели и риса. В аромате ощущаются фруктовые и карамельные нотки. Хорошо сочетается с блюдами с карри, блюдами индийской, тайской, китайской, японской кухни, сырами. ",60.00,https://cdn.c4.r-99.com/sites/default/files/imagecache/300o/product-images/11240/bud_beer.jpg,3.90,A,true,1585127729487,1585128048183,admin,admin
8,Балтика 7,2,"Балтика №7 Экспортное — это светлое фильтрованное пиво, классический европейский лагер, отличающийся мягким и насыщенным вкусом. Продукт возглавляет премиальный сегмент пива от завода ""Балтика"". Данный напиток появился в 1994 году, а его выпуск был посвящен началу Игр доброй воли, проходящих в Санкт-Петербурге. Пиво относится к категории ""экспортное"", так как поставляется в более чем 40 стран мира. Подробнее: https://winestyle.ru",50.00,https://cdn.c4.r-99.com/sites/default/files/imagecache/300o/product-images/7476/bal7.JPG,3.30,A,true,1585650657177,1585651107445,admin,admin
9,Старый Мельник,2,"Старый Мельник из Бочонка Мягкое» – разливное пиво в бутылке, с мягким, бархатистым вкусом, практически не имеетхмелевой горечи. Для производства «Старого Мельника из Бочонка» используется уникальная технология производства, полностью идентичная технологии производства разливного пива. Пастеризация продукции уменьшена ровно до уровня пастеризации пива в кегах. Подобная технология обуславливает полноту и насыщенность вкуса.",55.00,https://cdn.c4.r-99.com/sites/default/files/imagecache/300o/product-images/230340/4C89Gw86qjtdjXlqQRQIw.jpg,4.20,A,true,1585736602380,1585736842336,admin,admin
10,Hoegaarden,2,"Пиво Hoegaarden производится известной бельгийской компанией ""Anheuser-Busch InBev"". Согласно исторической легенде, начиная с XIV века монахи в окрестностях поселка Хугаарден варили уникальный местный нефильтрованный напиток. Бельгийское пшеничное пиво, которое также часто называют белым, не спутаешь ни с чем иным. Лучше всего его употреблять в охлажденных шестигранных бокалах. В качестве закуски оптимальна и долька лимона, и сушеное мясо, и вяленая рыба.   Подробнее: https://winestyle.ru",80.00,https://cdn.c4.r-99.com/sites/default/files/imagecache/300o/product-images/8746/glavny_po_pivu-2007-09-07-hg_0.5.jpg,4.10,A,true,1585737132871,1585737532844,admin,admin
11,Stella Artois,2,"""Stella Artois"" — светлый лагер суперпремиум класса, один из самых популярных бельгийских брендов пива в мире, объем производства которого превысил отметку в 100 миллионов декалитров уже в 2008 году. Любители утонченного вкуса отмечают изысканный вкус пива ""Стелла Артуа"", хмелевая горечь которого уравновешена нотками карамели и орехов. Особая технология фильтрации, применяемая при изготовлении пива ""Стелла Артуа"", была разработана и запатентована университетом города Лёвен и концерном InBev. Подробнее: https://winestyle.ru",50.00,https://cdn.c4.r-99.com/sites/default/files/imagecache/300o/product-images/17395/i5.jpg,3.90,A,true,1585737926913,1585738030782,admin,admin
12,Афанасий Porter,2,"Плотное насыщенное пиво глубокого темного цвета с изысканной уравновешенной отточенной хмелевой горечью послевкусия, присущей классическим сортам портеров ",80.00,https://cdn.c4.r-99.com/sites/default/files/imagecache/300o/product-images/115933/3sayODplOwWtnXigeC5Q.jpg,4.70,A,true,1585742101489,1585742241782,admin,admin
13,Amstel Premium Pilsener,2,"Пиво Amstel Premium Pilsener 4.8% 1.35л – большая порция светлого голландского пильзнера, который входит в число мировых пивных брендов. Пиво Amstel, впервые изготовленное в Амстердаме в 1870-х годах, произвело настоящую революцию в пивоварении. Нидерландским пивоварам, благодаря исключительному составу и выверенному рецепту, удалось получить уникальный янтарный пильзнер отличного качества, который через несколько десятилетий буквально покорил мир. С 2011 года Amstel Premium Pilsener варится и в России на пивоварнях корпорации Heineken. Аромат пива наполнен оттенками зерновых, солода и хлеба. Во вкусе чувствуется глубокая хмелевая основа, дополненная традиционной для пильзнеров горчинкой. Пиво «Амстел» превосходно сочетается с блюдами из птицы и традиционными пивными снэками.",60.00,https://cdn.c4.r-99.com/sites/default/files/imagecache/300o/product-images/28256/orig-52451-740x555-1346140918.jpg.jpg,3.10,A,true,1586112002579,1586112166652,test123,test123
14,Krucovice Svetle,2,"Krusovice— изысканный напиток Королей, в котором отражается дух золотого века Чехии. Сегодня это пиво высоко ценят не только потребители во всем мире, но и профессиональные судьи на самых престижных международных пивных конкурсах. Напиток обладает гладким вкусом с нотами лагерных дрожжей, хлеба, тонкими и сладкими солодовыми оттенками, благородной горчинкой хмеля. Послевкусие сухое, чистое, горьковатое, с нюансами орехов и хмеля.",60.00,https://cdn.c4.r-99.com/sites/default/files/imagecache/300o/product-images/115933/myldBkDBQOY7HOUJVfQ0g.jpg,4.10,A,true,1586112721713,1586112754755,test123,test123
15,Red Bull,1,"Безалкогольный тонизирующий (энергетический) газированный напиток, специально разработанный для лиц, подвергающихся значительным психо-эмоциональным и физическим нагрузкам. Он незаменим в самых разных ситуациях: при занятии спортом, напряженной работе, за рулем и на вечеринках. Повышает работоспособность, повышает концентрацию внимания и скорость реакции, поднимает настроение, ускоряет обмен веществ. Секрет эффективности Red Bull состоит именно в сочетании всех компонентов, входящих в её состав.",100.00,https://cdn.c4.r-99.com/sites/default/files/imagecache/300o/product-images/1436374/DvYU9pRMt4SxkRePMJ30w.jpg,3.20,A,true,1586114820644,1586115225527,test123,test123
