"review_id","quality_id"
1,8
1,10
1,6
2,8
2,7
2,13
2,10
2,1
2,14
4,3
4,8
4,10
4,14
5,12
5,11
5,5
5,9
6,4
6,15
6,2
6,16
7,20
7,22
7,17
8,19
8,23
8,21
8,18
8,24
9,36
9,38
9,33
9,26
9,8
10,17
10,8
11,27
11,37
11,28
12,36
12,38
12,26
12,17
12,8
13,32
13,29
13,34
13,8
13,28
14,38
14,33
14,17
14,8
14,25
15,17
15,35
15,30
15,34
16,38
16,26
16,8
17,26
17,17
17,8
19,36
19,38
19,33
19,26
19,8
20,31
20,17
20,8
22,48
22,39
22,49
22,37
24,46
24,50
24,45
24,49
25,27
25,39
25,49
26,44
26,51
26,42
26,47
26,41
26,43
27,48
27,39
27,49
27,37
27,28
29,48
29,39
29,49
29,37
29,28
30,27
30,39
30,40
30,49
30,37
31,72
31,55
31,52
31,56
32,60
32,8
32,70
32,53
34,60
34,8
34,70
34,52
34,61
34,53
36,63
36,64
36,62
36,59
36,69
36,52
36,67
36,53
37,60
37,57
37,55
37,65
37,52
37,56
37,68
38,57
38,65
38,52
38,71
38,53
41,66
41,57
41,8
41,52
41,53
42,8
42,45
42,58
42,69
42,37
44,60
44,52
44,53
45,54
45,66
45,8
45,53
46,76
46,74
46,84
46,73
46,80
48,82
48,83
48,84
49,73
49,80
50,25
50,73
50,80
51,78
51,87
51,81
51,86
52,73
52,77
53,73
53,80
55,81
57,79
57,80
57,75
58,79
58,84
58,86
59,73
59,80
59,81
59,77
61,80
62,76
62,75
63,84
63,73
63,80
63,77
64,73
64,80
67,76
67,73
67,80
67,77
68,73
68,80
69,25
69,73
69,80
70,76
70,79
70,74
70,84
70,73
70,80
71,73
71,80
71,85
72,8
73,89
73,8
76,107
76,8
76,88
77,100
77,8
78,98
78,8
78,88
79,109
79,91
79,111
81,111
82,107
82,105
82,89
82,8
82,88
84,102
84,89
84,8
84,108
85,8
86,100
86,90
86,8
87,103
87,91
87,8
87,88
89,89
89,8
90,102
90,89
90,8
90,88
92,95
92,91
92,112
93,103
93,105
93,8
93,88
95,107
95,105
95,89
95,8
96,110
96,8
97,91
97,93
97,8
98,107
98,95
98,103
98,89
98,104
98,113
99,103
99,105
99,8
99,88
100,96
100,112
101,91
101,89
101,8
101,88
102,91
102,89
102,8
103,109
104,107
104,101
104,105
104,89
104,8
104,88
105,92
105,104
107,107
107,103
107,110
107,8
108,91
108,89
110,109
115,8
116,8
117,107
117,89
117,8
118,91
118,97
118,90
118,105
118,89
118,8
118,108
119,91
119,89
119,8
120,8
121,107
121,103
121,92
121,89
121,8
122,109
123,107
123,103
123,106
123,89
123,8
123,88
124,111
124,112
124,94
126,100
126,105
126,89
126,8
126,108
127,109
127,91
127,112
129,91
129,89
129,8
131,8
132,107
132,103
132,110
132,89
132,8
132,99
133,107
133,103
133,110
133,89
133,8
134,107
134,102
134,89
134,8
135,107
135,89
135,8
136,107
136,90
136,105
136,89
136,8
137,107
137,103
137,92
137,8
137,108
137,88
138,91
138,89
138,8
138,108
139,107
139,103
139,105
139,89
139,8
141,124
141,123
142,115
143,115
143,122
144,128
145,127
145,128
145,118
145,114
145,124
145,123
145,119
146,115
146,121
146,27
146,122
146,130
146,116
147,128
147,123
148,115
148,132
148,122
149,114
150,128
150,123
151,115
151,122
151,128
151,75
152,124
153,121
153,122
154,128
154,124
155,125
155,128
155,114
155,123
156,128
156,114
156,129
156,123
157,132
157,128
157,120
157,116
158,129
159,124
160,131
160,128
160,117
161,75
162,121
162,116
164,75
165,129
166,128
166,123
167,124
168,121
168,122
169,128
169,114
169,126
170,122
172,128
172,114
172,119
173,125
173,128
173,123
174,128
174,123
175,128
175,124
176,115
176,122
176,130
176,114
176,116
179,127
179,124
179,123
179,119
180,128
180,123
181,124
182,27
183,115
183,128
184,27
184,128
186,128
186,123
187,121
187,122
188,121
188,122
189,115
189,128
190,133
190,134
190,140
190,136
191,133
191,144
191,147
191,134
191,138
191,136
192,144
192,141
192,134
192,138
193,133
193,144
193,147
193,134
194,144
194,141
194,134
195,142
195,134
195,145
195,138
196,139
196,147
196,135
196,141
196,145
196,138
197,136
198,144
198,134
198,146
199,133
199,141
199,140
200,144
200,141
200,134
201,133
201,141
201,134
201,143
201,140
201,136
202,144
202,147
202,141
202,134
203,137
203,139
203,142
203,145
203,138
203,148
204,133
204,136
205,141
205,134
205,140
205,138
206,134
206,138
206,136
207,133
207,134
207,138
207,136
210,155
210,156
210,179
210,151
211,164
211,180
211,151
212,160
212,177
214,178
214,151
214,175
216,179
216,147
216,166
216,162
216,178
216,180
216,151
216,175
216,170
216,161
217,181
217,164
217,179
217,147
217,163
217,178
217,180
217,151
217,175
217,170
217,153
218,179
218,178
219,177
220,155
220,175
220,153
221,155
221,181
221,91
222,157
222,178
222,151
222,175
223,169
223,157
223,165
223,147
223,160
224,180
224,151
224,175
225,155
225,159
225,179
225,147
225,153
226,157
226,163
226,180
226,151
226,175
226,153
228,155
228,179
228,153
229,179
229,151
230,151
230,177
231,171
231,178
231,180
231,151
231,175
232,155
232,157
232,160
233,171
233,179
233,163
233,178
233,180
233,168
233,151
233,175
233,170
233,153
234,180
234,151
234,175
235,171
235,180
235,168
235,151
235,175
235,153
236,169
236,181
236,165
236,158
237,155
237,175
239,180
239,151
239,175
239,153
240,171
240,155
240,179
240,178
240,168
240,151
240,175
241,155
241,157
241,168
241,151
241,175
241,153
242,179
242,151
243,179
243,180
243,151
243,175
244,155
244,157
244,160
244,178
245,153
245,174
246,155
246,157
246,164
246,160
247,173
247,152
247,154
248,180
248,175
248,153
249,163
249,175
249,174
250,171
250,163
250,151
250,175
250,170
250,153
251,179
251,174
253,162
253,175
253,170
254,171
254,179
254,166
254,162
254,163
254,178
254,180
254,168
254,151
254,175
254,170
254,153
255,181
255,159
255,147
255,163
255,151
255,175
255,153
256,155
256,157
256,179
256,163
256,178
256,175
256,153
257,163
257,178
257,180
257,175
257,153
258,165
258,147
258,175
259,179
259,180
259,151
259,175
259,153
260,180
260,151
260,175
261,179
262,160
263,91
263,163
263,178
263,175
263,153
266,181
266,157
266,164
266,166
266,163
266,180
266,175
267,155
267,157
267,179
267,163
267,178
269,155
269,175
269,153
270,155
270,163
270,180
270,175
272,155
272,159
272,147
272,176
272,167
272,91
272,172
272,88
273,163
273,151
273,175
273,153
274,180
274,151
274,175
274,153
275,171
275,155
275,180
275,168
275,177
275,175
275,153
277,171
277,179
278,164
278,156
278,160
278,149
278,177
278,150
279,177
280,157
280,165
280,166
280,162
280,163
280,180
280,151
280,153
281,155
281,160
282,190
284,185
285,187
285,190
289,183
289,182
289,91
291,183
291,182
291,184
292,185
292,182
292,190
292,191
292,189
292,186
293,187
293,128
293,188
294,185
294,183
294,182
294,91
294,184
295,191
296,182
296,128
296,190
296,189
297,128
297,184
297,190
298,128
298,190
300,202
300,88
300,200
300,43
300,194
301,88
301,200
301,198
301,43
301,194
302,202
302,88
302,200
302,43
304,197
304,192
304,199
304,193
304,195
304,196
304,201
306,206
306,210
306,203
307,37
307,204
307,209
307,203
308,210
309,205
309,207
309,208
309,203
310,27
310,212
312,138
312,37
312,210
312,203
314,205
314,207
314,208
314,206
314,211
315,205
315,208
315,210
316,208
316,206
316,211
316,203
318,205
318,207
318,203
319,204
321,206
321,210
322,217
323,213
323,221
323,215
323,223
323,218
323,217
324,222
324,217
324,224
324,219
325,216
325,218
327,220
327,214
327,218
327,217
329,253
329,8
329,232
329,226
329,237
329,252
329,229
331,8
331,246
331,252
331,229
332,227
332,230
332,232
332,236
333,225
333,230
333,8
333,232
333,237
333,243
333,234
333,251
333,228
333,229
334,230
334,245
334,244
334,229
335,230
335,8
335,236
335,246
335,252
335,231
336,235
336,255
336,249
336,250
336,258
336,247
336,241
336,252
337,225
337,8
337,232
337,257
337,256
337,243
337,233
337,252
338,8
338,236
338,231
339,236
339,240
341,253
341,225
341,242
341,230
341,8
341,232
341,226
341,257
341,256
341,243
341,251
341,229
342,225
342,227
342,242
342,232
342,236
342,257
342,237
342,246
342,252
343,227
343,232
344,8
344,236
344,252
344,251
345,242
346,248
346,253
346,242
346,230
346,8
346,240
346,252
346,251
346,231
347,225
347,8
347,232
347,257
347,237
348,253
348,242
348,230
348,8
349,225
349,257
349,244
349,229
350,225
350,239
350,242
350,230
350,8
350,232
350,257
350,256
350,243
350,251
350,229
351,230
351,8
351,232
351,257
351,244
351,252
352,253
352,225
352,8
352,257
352,256
352,234
354,230
354,8
354,256
354,231
354,229
356,232
357,248
357,229
358,230
358,8
358,232
358,226
358,252
358,229
359,225
359,257
359,256
359,244
359,229
360,232
361,236
362,8
362,232
362,252
363,226
363,229
365,230
365,232
365,237
367,230
367,236
367,246
368,239
368,8
368,233
368,252
369,232
370,232
371,227
371,230
371,236
371,246
371,252
371,231
372,225
372,8
372,236
373,232
373,236
375,232
375,226
375,257
375,237
376,253
376,230
376,8
376,236
376,252
376,229
377,242
377,230
377,232
377,257
377,256
377,244
377,231
379,230
379,236
379,252
380,230
380,8
380,236
380,245
380,252
380,251
380,231
381,225
381,238
381,230
381,257
381,243
381,231
381,229
382,253
382,225
382,227
382,230
382,8
382,232
382,226
382,257
382,244
382,252
382,231
382,229
384,227
384,230
384,232
384,237
384,246
385,245
385,243
385,254
386,232
386,236
386,254
386,246
386,252
